TIMESTAMP,ORDER_TYPE,BUY_PRICE,SELL_PRICE,ACCUMULATED_INVESTMENT
2022-05-20 14:00:11,Buy,28783.96,,999.999
2022-05-23 14:00:08,Sell,28783.96,28529.78,990.1683972255368
2022-05-27 14:00:17,Buy,26992.55,,990.1673972255368
